room,day_type,price_type,slot,amount
大会議室,平日,割増,午前-午後,26550
大会議室,平日,割増,午後,16350
大会議室,平日,割増,午後-夜間,30600
大会議室,平日,割増,夜間,14250
大会議室,平日,割増,全日,36750
大会議室,平日,割増,延長30分,2100
第1会議室,平日,割増,午前,2400
第1会議室,平日,割増,午前-午後,6150
第1会議室,平日,割増,午後,3750
第1会議室,平日,割増,午後-夜間,7050
第1会議室,平日,割増,夜間,3300
第1会議室,平日,割増,全日,8550
第1会議室,平日,割増,延長30分,600
第2会議室,平日,割増,午前,2400
第2会議室,平日,割増,午前-午後,6150
第2会議室,平日,割増,午後,3750
第2会議室,平日,割増,午後-夜間,7050
第2会議室,平日,割増,夜間,3300
第2会議室,平日,割増,全日,8550
第2会議室,平日,割増,延長30分,600
第3会議室,平日,割増,午前,2400
第3会議室,平日,割増,午前-午後,6150
第3会議室,平日,割増,午後,3750
第3会議室,平日,割増,午後-夜間,7050
第3会議室,平日,割増,夜間,3300
第3会議室,平日,割増,全日,8550
第3会議室,平日,割増,延長30分,600
第4会議室,平日,割増,午前,3450
第4会議室,平日,割増,午前-午後,8850
第4会議室,平日,割増,午後,5400
第4会議室,平日,割増,午後-夜間,10200
第4会議室,平日,割増,夜間,4800
第4会議室,平日,割増,全日,12300
第4会議室,平日,割増,延長30分,750
第5会議室,平日,割増,午前,2400
第5会議室,平日,割増,午前-午後,6150
第5会議室,平日,割増,午後,3750
第5会議室,平日,割増,午後-夜間,7050
第5会議室,平日,割増,夜間,3300
第5会議室,平日,割増,全日,8550
第5会議室,平日,割増,延長30分,600
第6会議室,平日,割増,午前,2850
第6会議室,平日,割増,午前-午後,7500
第6会議室,平日,割増,午後,4650
第6会議室,平日,割増,午後-夜間,8700
第6会議室,平日,割増,夜間,4050
第6会議室,平日,割増,全日,10350
第6会議室,平日,割増,延長30分,600
第7会議室,平日,割増,午前,1950
第7会議室,平日,割増,午前-午後,5100
第7会議室,平日,割増,午後,3150
第7会議室,平日,割増,午後-夜間,6000
第7会議室,平日,割増,夜間,2850
第7会議室,平日,割増,全日,7200
第7会議室,平日,割増,延長30分,450
第8会議室,平日,割増,午前,2850
第8会議室,平日,割増,午前-午後,7500
第8会議室,平日,割増,午後,4650
第8会議室,平日,割増,午後-夜間,8700
第8会議室,平日,割増,夜間,4050
第8会議室,平日,割増,全日,10350
第8会議室,平日,割増,延長30分,600
第9会議室,平日,割増,午前,1950
第9会議室,平日,割増,午前-午後,5100
第9会議室,平日,割増,午後,3150
第9会議室,平日,割増,午後-夜間,6000
第9会議室,平日,割増,夜間,2850
第9会議室,平日,割増,全日,7200
第9会議室,平日,割増,延長30分,450
大集会室,土日祝,割増,午前,90000
大集会室,土日祝,割増,午前-午後,234000
大集会室,土日祝,割増,午後,144000
大集会室,土日祝,割増,午後-夜間,270000
大集会室,土日祝,割増,夜間,126000
大集会室,土日祝,割増,全日,324000
大集会室,土日祝,割増,延長30分,18000
控室1,土日祝,割増,午前,1620
控室1,土日祝,割増,午前-午後,4140
控室1,土日祝,割増,午後,2520
控室1,土日祝,割増,午後-夜間,4860
控室1,土日祝,割増,夜間,2340
控室1,土日祝,割増,全日,5760
控室1,土日祝,割増,延長30分,360
控室2,土日祝,割増,午前,3240
控室2,土日祝,割増,午前-午後,8280
控室2,土日祝,割増,午後,5040
控室2,土日祝,割増,午後-夜間,9540
控室2,土日祝,割増,夜間,4500
控室2,土日祝,割増,全日,11520
控室2,土日祝,割増,延長30分,720
中集会室,土日祝,割増,午前,49140
中集会室,土日祝,割増,午前-午後,127800
中集会室,土日祝,割増,午後,78660
中集会室,土日祝,割増,午後-夜間,147600
中集会室,土日祝,割増,夜間,68940
中集会室,土日祝,割増,全日,177120
中集会室,土日祝,割増,延長30分,9900
小集会室,土日祝,割増,午前,25020
小集会室,土日祝,割増,午前-午後,65160
小集会室,土日祝,割増,午後,40140
小集会室,土日祝,割増,午後-夜間,75240
小集会室,土日祝,割増,夜間,35100
小集会室,土日祝,割増,全日,90360
小集会室,土日祝,割増,延長30分,5040
特別室,土日祝,割増,午前,42840
特別室,土日祝,割増,午前-午後,111420
特別室,土日祝,割増,午後,68580
特別室,土日祝,割増,午後-夜間,128700
特別室,土日祝,割増,夜間,60120
特別室,土日祝,割増,全日,154440
特別室,土日祝,割増,延長30分,8640
大会議室,土日祝,割増,午前,12240
大会議室,土日祝,割増,午前-午後,31860
大会議室,土日祝,割増,午後,19620
大会議室,土日祝,割増,午後-夜間,36720
大会議室,土日祝,割増,夜間,17100
大会議室,土日祝,割増,全日,44100
大会議室,土日祝,割増,延長30分,2520
第1会議室,土日祝,割増,午前,2880
第1会議室,土日祝,割増,午前-午後,7380
第1会議室,土日祝,割増,午後,4500
第1会議室,土日祝,割増,午後-夜間,8460
第1会議室,土日祝,割増,夜間,3960
第1会議室,土日祝,割増,全日,10260
第1会議室,土日祝,割増,延長30分,720
第2会議室,土日祝,割増,午前,2880
第2会議室,土日祝,割増,午前-午後,7380
第2会議室,土日祝,割増,午後,4500
第2会議室,土日祝,割増,午後-夜間,8460
第2会議室,土日祝,割増,夜間,3960
第2会議室,土日祝,割増,全日,10260
第2会議室,土日祝,割増,延長30分,720
第3会議室,土日祝,割増,午前,2880
第3会議室,土日祝,割増,午前-午後,7380
第3会議室,土日祝,割増,午後,4500
第3会議室,土日祝,割増,午後-夜間,8460
第3会議室,土日祝,割増,夜間,3960
第3会議室,土日祝,割増,全日,10260
第3会議室,土日祝,割増,延長30分,720
第4会議室,土日祝,割増,午前,4140
第4会議室,土日祝,割増,午前-午後,10620
第4会議室,土日祝,割増,午後,6480
第4会議室,土日祝,割増,午後-夜間,12240
第4会議室,土日祝,割増,夜間,5760
第4会議室,土日祝,割増,全日,14760
第4会議室,土日祝,割増,延長30分,900
第5会議室,土日祝,割増,午前,2880
第5会議室,土日祝,割増,午前-午後,7380
第5会議室,土日祝,割増,午後,4500
第5会議室,土日祝,割増,午後-夜間,8460
第5会議室,土日祝,割増,夜間,3960
第5会議室,土日祝,割増,全日,10260
第5会議室,土日祝,割増,延長30分,720
第6会議室,土日祝,割増,午前,3420
第6会議室,土日祝,割増,午前-午後,9000
第6会議室,土日祝,割増,午後,5580
第6会議室,土日祝,割増,午後-夜間,10440
第6会議室,土日祝,割増,夜間,4860
第6会議室,土日祝,割増,全日,12420
第6会議室,土日祝,割増,延長30分,720
第7会議室,土日祝,割増,午前,2340
第7会議室,土日祝,割増,午前-午後,6120
第7会議室,土日祝,割増,午後,3780
第7会議室,土日祝,割増,午後-夜間,7200
第7会議室,土日祝,割増,夜間,3420
第7会議室,土日祝,割増,全日,8640
第7会議室,土日祝,割増,延長30分,540
第8会議室,土日祝,割増,午前,3420
第8会議室,土日祝,割増,午前-午後,9000
第8会議室,土日祝,割増,午後,5580
第8会議室,土日祝,割増,午後-夜間,10440
第8会議室,土日祝,割増,夜間,4860
第8会議室,土日祝,割増,全日,12420
第8会議室,土日祝,割増,延長30分,720
第9会議室,土日祝,割増,午前,2340
第9会議室,土日祝,割増,午前-午後,6120
第9会議室,土日祝,割増,午後,3780
第9会議室,土日祝,割増,午後-夜間,7200
第9会議室,土日祝,割増,夜間,3420
第9会議室,土日祝,割増,全日,8640
第9会議室,土日祝,割増,延長30分,540
